coach_name,season,team_abbreviation,wins,losses,w_pct_rank,net_rating,net_rating_rank,off_rating,off_rating_rank,def_rating,def_rating_rank,pace_rank,pace,efg_pct_rank,efg_pct,fta_rate_rank,fta_rate,tm_tov_pct_rank,tm_tov_pct,oreb_pct_rank,oreb_pct,pct_fga_atb_3pt_rank,pct_fga_atb_3pt,pct_fga_cr_3pt_rank,pct_fga_cr_3pt,opp_efg_pct_rank,opp_efg_pct,opp_fta_rate_rank,opp_fta_rate,opp_tov_pct_rank,opp_tov_pct,opp_oreb_pct_rank,opp_oreb_pct,opp_pct_fga_atb_3pt_rank,opp_pct_fga_atb_3pt,opp_pct_fga_cr_3pt_rank,opp_pct_fga_cr_3pt
A. Žakelj (9-9),2024-25,BUD,9,9,13,1.5,9,115.7,5,114.2,16,16,73.2,4,0.564,13,0.103,6,0.153,14,0.296,5,0.267,20,0.017,19,0.568,6,0.097,10,0.163,1,0.274,20,0.298,6,0.036
A. Žakelj (6-5),2023-24,BUD,6,5,13,-2.6,12,111,13,113.6,10,16,72.3,18,0.531,4,0.113,11,0.171,9,0.323,16,0.231,15,0.024,9,0.553,14,0.104,12,0.164,9,0.296,20,0.317,6,0.023
