season,pace
2000-2001,73.9
2001-2002,73.1
2002-2003,70.4
2003-2004,69.3
2004-2005,70.2
2005-2006,69.8
2006-2007,70.2
2007-2008,70.3
2008-2009,69.5
2009-2010,69.4
2010-2011,69.6
2011-2012,70
2012-2013,69.3
2013-2014,69.1
2014-2015,70.8
2015-2016,70.3
2016-2017,70.6
2017-2018,69.5
2018-2019,70
2019-2020,70.3
2020-2021,69.5
2021-2022,69.2
2022-2023,70.2
2023-2024,70.1
2024-2025,72
